split_id,train_end_date,test_start_date,test_end_date,n_train,n_test,rmse,mae,r2,mape,model,category
4,2020-08-27,2020-08-28,2020-09-03,115,14,7.040093122168168,5.912197369461014,0.08188484667140161,25.33629225564888,GradientBoosting,花菜类
4,2020-08-27,2020-08-28,2020-09-03,115,14,6.1922019409732005,5.020899480150676,0.28971839035012625,22.93880639532298,Huber,花菜类
5,2020-09-03,2020-09-04,2020-09-10,129,14,7.302948857401957,5.998042857142855,0.345211537139551,34.97825011723646,RandomForest,花菜类
5,2020-09-03,2020-09-04,2020-09-10,129,14,6.440346169621358,4.786487008609429,0.4907595152340394,27.53889002784139,GradientBoosting,花菜类
5,2020-09-03,2020-09-04,2020-09-10,129,14,6.838573198134594,5.040220250636289,0.4258366068210565,24.797196805710424,Huber,花菜类
6,2020-09-10,2020-09-11,2020-09-17,143,14,7.234787655985485,5.7039914285714275,0.5977697404967615,29.684823319103575,RandomForest,花菜类
6,2020-09-10,2020-09-11,2020-09-17,143,14,6.175784054774757,4.402514834649646,0.7069057050388526,21.458517116938346,GradientBoosting,花菜类
6,2020-09-10,2020-09-11,2020-09-17,143,14,8.799038838869311,6.976729191494813,0.4050319690533326,36.926409525635776,Huber,花菜类
7,2020-09-17,2020-09-18,2020-09-24,157,14,6.5381964882417805,5.208877142857141,0.4513137148652786,25.382954277941938,RandomForest,花菜类
7,2020-09-17,2020-09-18,2020-09-24,157,14,5.142542121384041,3.7704295504581657,0.6605593237908718,18.006501887665024,GradientBoosting,花菜类
7,2020-09-17,2020-09-18,2020-09-24,157,14,6.045691298675681,4.5453071934583615,0.5308625485831906,21.464123490172945,Huber,花菜类
0,2020-08-01,2020-08-02,2020-08-08,72,15,2.874210313682699,2.5270893333333335,0.3227047325503021,24.65815802242334,RandomForest,茄类
0,2020-08-01,2020-08-02,2020-08-08,72,15,2.9905545094201513,2.47497815937715,0.26676295300105335,25.351458213279464,GradientBoosting,茄类
0,2020-08-01,2020-08-02,2020-08-08,72,15,2.759858045203461,2.243942716964156,0.3755258823431491,22.247479019106134,Huber,茄类
1,2020-08-08,2020-08-09,2020-08-15,87,14,4.0385738473447725,3.748888571428574,-0.860567335439762,46.091487073886896,RandomForest,茄类
1,2020-08-08,2020-08-09,2020-08-15,87,14,3.5759387545919314,3.358771387859328,-0.45871174224531974,40.12765091552352,GradientBoosting,茄类
